Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-DDB3","cda-iceberg-orchestration/LaunchConditionState/Resource","Compliant","N/A","Warning","The DynamoDB table does not have Point-in-time Recovery enabled."
"AwsSolutions-IAM5","cda-iceberg-orchestration/EmrJobRoleForCursorAdvance/Policy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cda-iceberg-orchestration/LaunchConditionRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole grants the function write access to its own CloudWatch log group only. AWS-recommended logging baseline; not a broad data-plane grant.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cda-iceberg-orchestration/LaunchConditionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/LaunchConditionRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","cda-iceberg-orchestration/LaunchConditionFn/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-SNS3","cda-iceberg-orchestration/NotificationTopic/Resource","Compliant","N/A","Error","The SNS Topic does not require publishers to use SSL."
"AwsSolutions-IAM4","cda-iceberg-orchestration/StateMachineRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::<LaunchConditionFnA5F4BB61.Arn>:*] lambda:InvokeFunction <fn-arn>:* — the trailing :* is the function VERSION/alias qualifier that CDK appends automatically. The function ARNs themselves (launch-condition, recon-list) are pinned; this does not widen invocation beyond those two functions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::<ReconListFnA9BC40E8.Arn>:*] lambda:InvokeFunction <fn-arn>:* — the trailing :* is the function VERSION/alias qualifier that CDK appends automatically. The function ARNs themselves (launch-condition, recon-list) are pinned; this does not widen invocation beyond those two functions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:emr-serverless:us-east-1:111111111111:/applications/<ServerlessApp.ApplicationId>/jobruns/*] emr-serverless:GetJobRun on /applications/<app-id>/jobruns/* — job-run IDs are generated by EMR at StartJobRun time and are not knowable at deploy time. Scoped to this account, region, and the single EMR application; cannot read job runs of any other application.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
